site1,part/number,site2,document/type,purchase/order/number,indication,supplier,first/qty,purchase/order/quantity,created/date,eta,total/po/qty,total/number/of/po,eta/status,final/po/qty,index/part/number
GREECE,CB096PR,GREECE,Purchase Order,144913-2,O,MONBAT,4,51,14-12-2024,10-03-2025,153,2,2,51,CB096PR2
GREECE,CB100PL,GREECE,Purchase Order,144866-3,O,MONBAT,1,102,06-11-2024,17-02-2025,102,1,1,102,CB100PL1
GREECE,CB100PR,GREECE,Purchase Order,144913-2,O,MONBAT,5,51,14-12-2024,10-03-2025,51,1,1,51,CB100PR1
GREECE,CB110PL,GREECE,Purchase Order,144866-3,O,MONBAT,7,36,06-11-2024,17-02-2025,36,1,1,36,CB110PL1
GREECE,CB334PL,GREECE,Purchase Order,144866-2,O,MONBAT,3,84,06-11-2024,11-02-2025,168,2,1,84,CB334PL1
GREECE,CB334PL,GREECE,Purchase Order,144913-1,O,MONBAT,11,84,13-12-2024,10-03-2025,168,2,2,84,CB334PL2
GREECE,CB334PR,GREECE,Purchase Order,144866-3,O,MONBAT,4,42,06-11-2024,17-02-2025,84,2,1,42,CB334PR1
GREECE,CB334PR,GREECE,Purchase Order,144913-2,O,MONBAT,6,42,14-12-2024,10-03-2025,84,2,2,42,CB334PR2
GREECE,CB335PL,GREECE,Purchase Order,144866-2,O,MONBAT,6,84,06-11-2024,11-02-2025,84,1,1,84,CB335PL1
GREECE,CB612HD,GREECE,Purchase Order,144866-2,O,MONBAT,7,72,06-11-2024,11-02-2025,96,2,1,72,CB612HD1
GREECE,CB612HD,GREECE,Purchase Order,144913-2,O,MONBAT,7,24,14-12-2024,10-03-2025,96,2,2,24,CB612HD2
GREECE,CB625SHD,GREECE,Purchase Order,144866-3,O,MONBAT,5,18,06-11-2024,17-02-2025,36,2,1,18,CB625SHD1
GREECE,CB625SHD,GREECE,Purchase Order,144913-2,O,MONBAT,8,18,14-12-2024,10-03-2025,36,2,2,18,CB625SHD2
GREECE,CB627HD,GREECE,Purchase Order,144866-3,O,MONBAT,6,24,06-11-2024,17-02-2025,24,1,1,24,CB627HD1
GREECE,CB629SHD,GREECE,Purchase Order,144866-2,O,MONBAT,9,84,06-11-2024,11-02-2025,105,2,1,84,CB629SHD1
GREECE,CB629SHD,GREECE,Purchase Order,144913-2,O,MONBAT,9,21,14-12-2024,10-03-2025,105,2,2,21,CB629SHD2
GREECE,CBC001L,GREECE,Purchase Order,144897,O,Rolling components,1,3,29-11-2024,29-01-2025,268,3,1,118,CBC001L1
GREECE,CBC001L,GREECE,Purchase Order,144924,O,Rolling components,1,115,19-12-2024,29-01-2025,268,3,2,118,CBC001L2
GREECE,CBC001L,GREECE,Purchase Order,144956,O,Rolling components,1,150,23-01-2025,14-02-2025,268,3,3,150,CBC001L3
GREECE,CBC001R,GREECE,Purchase Order,144924,O,Rolling components,2,136,19-12-2024,29-01-2025,233,2,1,136,CBC001R1
GREECE,CBC001R,GREECE,Purchase Order,144956,O,Rolling components,2,97,23-01-2025,14-02-2025,233,2,2,97,CBC001R2
GREECE,CBC002L,GREECE,Purchase Order,144924,O,Rolling components,16,4,19-12-2024,29-01-2025,15,2,1,4,CBC002L1
GREECE,CBC002L,GREECE,Purchase Order,144956,O,Rolling components,14,11,23-01-2025,14-02-2025,15,2,2,11,CBC002L2
GREECE,CBC002R,GREECE,Purchase Order,144924,O,Rolling components,17,5,19-12-2024,29-01-2025,12,2,1,5,CBC002R1
GREECE,CBC002R,GREECE,Purchase Order,144956,O,Rolling components,15,7,23-01-2025,14-02-2025,12,2,2,7,CBC002R2
GREECE,CBC003L,GREECE,Purchase Order,144897,O,Rolling components,14,8,29-11-2024,29-01-2025,79,4,1,19,CBC003L1
GREECE,CBC003L,GREECE,Purchase Order,144924,O,Rolling components,29,11,19-12-2024,29-01-2025,79,4,2,19,CBC003L2
GREECE,CBC003L,GREECE,Purchase Order,CEO20495-144954a,O,CAP,4,20,23-01-2025,14-02-2025,79,4,3,60,CBC003L3
GREECE,CBC003L,GREECE,Purchase Order,144956,O,Rolling components,22,40,23-01-2025,14-02-2025,79,4,4,60,CBC003L4
GREECE,CBC003R,GREECE,Purchase Order,144897,O,Rolling components,16,3,29-11-2024,29-01-2025,81,4,1,24,CBC003R1
GREECE,CBC003R,GREECE,Purchase Order,144924,O,Rolling components,31,21,19-12-2024,29-01-2025,81,4,2,24,CBC003R2
GREECE,CBC003R,GREECE,Purchase Order,CEO20495-144954a,O,CAP,5,20,23-01-2025,14-02-2025,81,4,3,57,CBC003R3
GREECE,CBC003R,GREECE,Purchase Order,144956,O,Rolling components,24,37,23-01-2025,14-02-2025,81,4,4,57,CBC003R4
GREECE,CBC004L,GREECE,Purchase Order,144924,O,Rolling components,7,30,19-12-2024,29-01-2025,72,2,1,30,CBC004L1
GREECE,CBC004L,GREECE,Purchase Order,144956,O,Rolling components,7,42,23-01-2025,14-02-2025,72,2,2,42,CBC004L2
GREECE,CBC004R,GREECE,Purchase Order,144869 BOII,O,Rolling components,1,22,08-11-2024,29-01-2025,112,4,1,58,CBC004R1
GREECE,CBC004R,GREECE,Purchase Order,144924,O,Rolling components,8,36,19-12-2024,29-01-2025,112,4,2,58,CBC004R2
GREECE,CBC004R,GREECE,Purchase Order,CEO20495-144954a,O,CAP,6,14,23-01-2025,14-02-2025,112,4,3,54,CBC004R3
GREECE,CBC004R,GREECE,Purchase Order,144956,O,Rolling components,8,40,23-01-2025,14-02-2025,112,4,4,54,CBC004R4
GREECE,CBC005L,GREECE,Purchase Order,144897,O,Rolling components,18,2,29-11-2024,29-01-2025,13,4,1,6,CBC005L1
GREECE,CBC005L,GREECE,Purchase Order,144924,O,Rolling components,35,4,19-12-2024,29-01-2025,13,4,2,6,CBC005L2
GREECE,CBC005L,GREECE,Purchase Order,144956,O,Rolling components,27,2,23-01-2025,14-02-2025,13,4,3,7,CBC005L3
GREECE,CBC005L,GREECE,Purchase Order,CEO20495-144954b,O,CAP,55,5,23-01-2025,14-02-2025,13,4,4,7,CBC005L4
GREECE,CBC005R,GREECE,Purchase Order,144897,O,Rolling components,19,2,29-11-2024,29-01-2025,21,4,1,9,CBC005R1
GREECE,CBC005R,GREECE,Purchase Order,144924,O,Rolling components,36,7,19-12-2024,29-01-2025,21,4,2,9,CBC005R2
GREECE,CBC005R,GREECE,Purchase Order,CEO20495-144954a,O,CAP,7,9,23-01-2025,14-02-2025,21,4,3,12,CBC005R3
GREECE,CBC005R,GREECE,Purchase Order,144956,O,Rolling components,28,3,23-01-2025,14-02-2025,21,4,4,12,CBC005R4
GREECE,CBC006L,GREECE,Purchase Order,144924,O,Rolling components,137,1,19-12-2024,29-01-2025,3,2,1,1,CBC006L1
GREECE,CBC006L,GREECE,Purchase Order,CEO20495-144954b,O,CAP,56,2,23-01-2025,14-02-2025,3,2,2,2,CBC006L2
GREECE,CBC006R,GREECE,Purchase Order,144924,O,Rolling components,138,1,19-12-2024,29-01-2025,1,1,1,1,CBC006R1
GREECE,CBC007L,GREECE,Purchase Order,144924,O,Rolling components,6,6,19-12-2024,29-01-2025,10,2,1,6,CBC007L1
GREECE,CBC007L,GREECE,Purchase Order,144956,O,Rolling components,6,4,23-01-2025,14-02-2025,10,2,2,4,CBC007L2
GREECE,CBC007R,GREECE,Purchase Order,144897,O,Rolling components,4,10,29-11-2024,29-01-2025,31,4,1,20,CBC007R1
GREECE,CBC007R,GREECE,Purchase Order,144924,O,Rolling components,5,10,19-12-2024,29-01-2025,31,4,2,20,CBC007R2
GREECE,CBC007R,GREECE,Purchase Order,144956,O,Rolling components,5,7,23-01-2025,14-02-2025,31,4,3,11,CBC007R3
GREECE,CBC007R,GREECE,Purchase Order,CEO20495-144954b,O,CAP,57,4,23-01-2025,14-02-2025,31,4,4,11,CBC007R4
GREECE,CBC008L,GREECE,Purchase Order,144897,O,Rolling components,24,2,29-11-2024,29-01-2025,13,3,1,10,CBC008L1
GREECE,CBC008L,GREECE,Purchase Order,144924,O,Rolling components,44,8,19-12-2024,29-01-2025,13,3,2,10,CBC008L2
