rec/id,record/id,date,description,document/no,company/name,part/number,item/description,unit/price,qty,availability,backorder,lost/sales,closed/qty,weighed/item,group,qenim,comment,expected/delivery,balance,company/id,third/code,priority/code,current/stock,prsypappsec,sales/orders,sales-back/order,branch/id,employee,supplier,customer/total/bo/qty,actual/stock,total/number/bo,index/part/number
895014.0,44,24-09-2024,TUR STSUP,194710.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,ΑΚΡΟ ΖΑΜΦΟΡ  ΕΜΠΡ. ΑΡΙΣΤΕΡΟ CHEVROLET-OPEL,5.01,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,17.0,1.0,161.0,AH,14.0,0.0,4.0,CSL51281
900952.0,38,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,ΑΚΡΟ ΖΑΜΦΟΡ  ΕΜΠΡ. ΑΡΙΣΤΕΡΟ CHEVROLET-OPEL,5.01,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,17.0,1.0,161.0,AH,14.0,0.0,4.0,CSL51281
904670.0,29,19-11-2024,TUR STSUP,206311.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,ΑΚΡΟ ΖΑΜΦΟΡ  ΕΜΠΡ. ΑΡΙΣΤΕΡΟ CHEVROLET-OPEL,5.01,4.0,0.0,4.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,17.0,1.0,161.0,AH,14.0,0.0,4.0,CSL51281
912670.0,6,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5128,ΑΚΡΟ ΖΑΜΦΟΡ  ΕΜΠΡ. ΑΡΙΣΤΕΡΟ CHEVROLET-OPEL,5.01,6.0,0.0,6.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,17.0,1.0,161.0,AH,14.0,0.0,4.0,CSL51281
900952.0,39,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CSL6128,ΑΚΡΟ ΖΑΜΦΟΡ  ΕΜΠΡ. ΔΕΞΙ CHEVROLET-OPEL,5.01,4.0,0.0,4.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,7.0,1.0,161.0,AH,4.0,0.0,1.0,CSL61281
902091.0,75,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL7145,ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. R/L CITROEN,5.58,8.0,0.0,8.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SLOW,0.0,0.0,0.0,28.0,1.0,161.0,AH,16.0,0.0,2.0,CSL71451
912670.0,17,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL7145,ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. R/L CITROEN,5.58,8.0,0.0,8.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SLOW,0.0,0.0,0.0,28.0,1.0,161.0,AH,16.0,0.0,2.0,CSL71451
902091.0,54,05-11-2024,TUR STSUP,203414.0,(GAZ) COMLINE IRELAND LIMITED,CSL7302,ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. R/L JEEP,5.79,4.0,0.0,1.0,0.0,3.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,3.0,0.0,0.0,1.0,1.0,161.0,IBERICA,1.0,3.0,1.0,CSL73021
904670.0,38,19-11-2024,TUR STSUP,206311.0,(GAZ) COMLINE IRELAND LIMITED,CSL7076,ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. R/L TOYOTA,4.21,4.0,0.0,4.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,MED,0.0,0.0,0.0,43.0,1.0,161.0,AH,10.0,0.0,2.0,CSL70761
912670.0,11,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL7076,ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. R/L TOYOTA,4.21,6.0,0.0,6.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,MED,0.0,0.0,0.0,43.0,1.0,161.0,AH,10.0,0.0,2.0,CSL70761
912670.0,5,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5063,"ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. ΑΡΙΣΤ, CITROEN - PEUGEOT",6.72,7.0,0.0,7.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,32.0,1.0,161.0,AH,14.0,0.0,3.0,CSL50631
907028.0,36,03-12-2024,TUR STSUP,209112.0,(GAZ) COMLINE IRELAND LIMITED,CSL5063,"ΑΚΡΟ ΖΑΜΦΟΡ ΕΜΠΡ. ΑΡΙΣΤ, CITROEN - PEUGEOT",6.72,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,V-SLOW,0.0,0.0,0.0,32.0,1.0,161.0,AH,14.0,0.0,3.0,CSL50631
