REC ID,DATE,DESCRIPTION,DOCUMENT NO,COMPANY NAME,PART NUMBER,UNIT PRICE,QTY,BACKORDER,PRIORITY CODE,CURRENT STOCK,PRSYPAPPSEC,SALES ORDERS,SALES-BACK ORDER,CUSTOMER TOTAL BO QTY,ACTUAL STOCK,ETA,TOTAL PO QTY,TOTAL NUMBER OF PO,FINAL PO QTY,RELEASE,NOTE,NUMBER OF DAYS ETA
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CSL5018,5.54,5.0,1.0,V-SLOW,1.0,0.0,0.0,1.0,1.0,1.0,2025-02-07,13.0,2.0,3.0,1.0,back/order/qty,5.0
907028.0,03-12-2024,TUR STSUP,209112.0,(GAZ) COMLINE IRELAND LIMITED,CTRE2189,5.1,2.0,1.0,V-SLOW,8.0,0.0,0.0,1.0,1.0,8.0,,,,,1.0,back/order/qty,
884787.0,16-07-2024,TUR STSUP,181211.0,(GAZ) COMLINE IRELAND LIMITED,CTR3212,6.72,2.0,1.0,SPECIAL,0.0,0.0,0.0,3.0,1.0,0.0,,,,,0.0,done,
887254.0,30-07-2024,TUR STSUP,183813.0,(GAZ) COMLINE IRELAND LIMITED,CTRE1168,8.45,1.0,1.0,SPECIAL,0.0,0.0,0.0,2.0,1.0,0.0,,,,,0.0,done,
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CTR2084,6.1,3.0,1.0,SPECIAL,1.0,0.0,0.0,1.0,1.0,1.0,2025-02-07,2.0,2.0,1.0,1.0,back/order/qty,5.0
900952.0,29-10-2024,TUR - STSUP,202312.0,(GAZ) COMLINE IRELAND LIMITED,CTR2068,5.76,4.0,1.0,V-SLOW,7.0,0.0,1.0,1.0,1.0,6.0,2025-02-05,9.0,2.0,2.0,1.0,back/order/qty,3.0
912670.0,16-01-2025,TUR STSUP,215113.0,(GAZ) COMLINE IRELAND LIMITED,CTRE1127,8.24,5.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,2025-02-07,7.0,3.0,5.0,0.0,done,5.0
902075.0,05-11-2024,EUR1 BRAKE PAD + WATER PUMP,203401.0,(GAZ) COMLINE IRELAND LIMITED,EWP081,12.77,2.0,2.0,OBS,2.0,0.0,0.0,2.0,2.0,2.0,,,,,2.0,back/order/qty,
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC085R,16.48,1.0,1.0,V-SLOW,0.0,0.0,0.0,6.0,3.0,0.0,2025-01-29,10.0,3.0,5.0,0.0,done,-4.0
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC080R,22.33,1.0,1.0,SPECIAL,0.0,0.0,0.0,3.0,1.0,0.0,2025-01-29,1.0,1.0,1.0,0.0,done,-4.0
