rec/id,record/id,date,description,document/no,company/name,part/number,item/description,unit/price,qty,availability,backorder,lost/sales,closed/qty,weighed/item,group,qenim,comment,expected/delivery,balance,company/id,third/code,priority/code,current/stock,prsypappsec,sales/orders,sales-back/order,branch/id,employee,supplier
911877,68,2025/01/10  ,BRAKE PAD,214611,(NEXT) COMLINE IRELAND LIMITED,CBP3260,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΕΜΠΡ. TOYOTA,8.13,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB3260,MED,50.00,0.00,0.0,1.0,1,161,Z
906529,30,2024/12/02  ,BRAKE PAD,208202,(NEXT) COMLINE IRELAND LIMITED,CBP0944,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΕΜΠΡ. TOYOTA,8.63,2.00,0.0,1,0.0,1.0,0,54359|1,0,,,0.0,IE0209001,ADB0944,SLOW,2.00,0.00,0.0,16.0,1,161,A
911870,2,2025/01/10  ,BRAKE PAD,214609,(NEXT) COMLINE IRELAND LIMITED,CBP1885,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΕΜΠΡ. VW,12.01,12.00,0.0,12,0.0,0.0,0,,0,,,0.0,IE0209001,ADB1885,MED,55.00,0.00,11.0,29.0,1,161,Z
906529,28,2024/12/02  ,BRAKE PAD,208202,(NEXT) COMLINE IRELAND LIMITED,CBP0925,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΕΜΠΡ. VW,10.29,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,ADB0925,V-SLOW,0.00,0.00,0.0,3.0,1,161,CAP
901128,32,2024/10/30  ,BRAKE PAD,202605,(NEXT) COMLINE IRELAND LIMITED,CBP1885,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΕΜΠΡ. VW,12.01,16.00,0.0,16,0.0,0.0,0,,0,,,0.0,IE0209001,ADB1885,MED,55.00,0.00,11.0,29.0,1,161,Z
911877,70,2025/01/10  ,BRAKE PAD,214611,(NEXT) COMLINE IRELAND LIMITED,CBP3333,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΕΜΠΡ. ΤΟΥΟΤΑ-VW,9.87,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB3333,SLOW,65.00,0.00,12.0,2.0,1,161,A
911877,87,2025/01/10  ,BRAKE PAD,214611,(NEXT) COMLINE IRELAND LIMITED,CBP9032,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΕΜΠΡ./ΟΠΙΣΘ. IVECO,16.88,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,V-SLOW,42.00,0.00,18.0,8.0,1,161,Z
905375,27,2024/11/24  ,BACK ORDER,39051,(NEXT) COMLINE IRELAND LIMITED,CBP3863,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΕΜΠΡ.NISSAN - FORD,10.64,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB3863,V-SLOW,0.00,0.00,0.0,17.0,1,161,A
891624,12,2024/09/03  ,BRAKE PAD,190407,(NEXT) COMLINE IRELAND LIMITED,CBP02157,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. AUDI,11.67,16.00,0.0,16,0.0,0.0,0,,0,,,0.0,IE0209001,ADB02157,MED,102.00,0.00,17.0,17.0,1,161,A
896185,23,2024/10/01  ,BRAKE PAD,196106,(NEXT) COMLINE IRELAND LIMITED,CBP02156,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. AUDI,8.56,15.00,0.0,6,0.0,9.0,0,,0,,,0.0,IE0209001,AEV02156,FAST,66.00,0.00,16.0,94.0,1,161,Z
