standardcode,partnumber,customercode,customername,targetdate,status,2023-customer-sales,2024-customer-sales,number-of-customer-target,number-of-part-number-target,sales-after-target,total-sales-after-first-target
CBK101GAZELA,CBK101,GAZELA,GAZELA,,Target Accepted,0,4,1,1,4,
CBK102GAZELA,CBK102,GAZELA,GAZELA,,Target Accepted,0,0,1,1,0,
CBK109GAZELA,CBK109,GAZELA,GAZELA,,Target Accepted,0,3,1,1,3,
CBK111GAZELA,CBK111,GAZELA,GAZELA,,Target Accepted,0,6,1,2,6,
CBK130GAZELA,CBK130,GAZELA,GAZELA,,Target Accepted,0,8,1,1,8,
CBK175GAZELA,CBK175,GAZELA,GAZELA,,Target Accepted,0,2,1,1,2,
CBK180GAZELA,CBK180,GAZELA,GAZELA,,Target Accepted,0,8,1,1,8,
CBK199GAZELA,CBK199,GAZELA,GAZELA,,Target Accepted,0,5,1,1,5,
CBK201GAZELA,CBK201,GAZELA,GAZELA,,Target Accepted,13,15,1,1,6,
CBK207GAZELA,CBK207,GAZELA,GAZELA,,Target Accepted,0,3,1,1,3,
CBK208GAZELA,CBK208,GAZELA,GAZELA,,Target Accepted,0,5,1,2,5,
CBK211GAZELA,CBK211,GAZELA,GAZELA,,Target Accepted,0,14,1,1,14,
CBK214GAZELA,CBK214,GAZELA,GAZELA,,Best Offered,0,2,1,1,2,
CBK222GAZELA,CBK222,GAZELA,GAZELA,,Target Accepted,0,4,1,1,4,
CBK223GAZELA,CBK223,GAZELA,GAZELA,,Target Accepted,0,13,1,1,13,
CBK224GAZELA,CBK224,GAZELA,GAZELA,,Target Accepted,28,48,1,1,30,
CBK225GAZELA,CBK225,GAZELA,GAZELA,,Target Accepted,0,9,1,1,9,
CBK232GAZELA,CBK232,GAZELA,GAZELA,,Best Offered,0,2,1,1,2,
CBK234GAZELA,CBK234,GAZELA,GAZELA,,Target Accepted,0,3,1,1,3,
CBK248GAZELA,CBK248,GAZELA,GAZELA,,Best Offered,0,25,1,1,25,
CBK257GAZELA,CBK257,GAZELA,GAZELA,,Target Accepted,1,9,1,1,6,
CBK259GAZELA,CBK259,GAZELA,GAZELA,,Best Offered,0,2,1,1,2,
CBK264GAZELA,CBK264,GAZELA,GAZELA,,Target Accepted,0,4,1,1,4,
CBK265GAZELA,CBK265,GAZELA,GAZELA,,Target Accepted,3,16,1,1,10,
CBK267GAZELA,CBK267,GAZELA,GAZELA,,Target Accepted,0,6,1,1,6,
CBK273GAZELA,CBK273,GAZELA,GAZELA,,Target Accepted,0,2,1,1,2,
CBK283GAZELA,CBK283,GAZELA,GAZELA,,Best Offered,0,2,1,1,2,
CBK293GAZELA,CBK293,GAZELA,GAZELA,,Best Offered,0,2,1,1,2,
CBK295GAZELA,CBK295,GAZELA,GAZELA,,Best Offered,0,12,1,1,12,
CBK299GAZELA,CBK299,GAZELA,GAZELA,,Target Accepted,0,3,1,1,3,
CBK315GAZELA,CBK315,GAZELA,GAZELA,,Target Accepted,0,5,1,1,5,
CHA002GAZELA,CHA002,GAZELA,GAZELA,,Target Accepted,0,2,1,1,2,
CHA003GAZELA,CHA003,GAZELA,GAZELA,,Target Accepted,0,5,1,1,5,
CHA004GAZELA,CHA004,GAZELA,GAZELA,,Target Accepted,0,3,1,1,3,
CHA014GAZELA,CHA014,GAZELA,GAZELA,,Target Accepted,6,60,1,1,51,
CHA016GAZELA,CHA016,GAZELA,GAZELA,,Target Accepted,0,10,1,2,10,
CHA017GAZELA,CHA017,GAZELA,GAZELA,,Target Accepted,19,25,1,1,17,
CHA018GAZELA,CHA018,GAZELA,GAZELA,,Target Accepted,0,16,1,1,15,
CHA019GAZELA,CHA019,GAZELA,GAZELA,,Target Accepted,0,6,1,1,6,
CHA021GAZELA,CHA021,GAZELA,GAZELA,,Best Offered,10,19,1,1,15,
CHA027GAZELA,CHA027,GAZELA,GAZELA,,Target Accepted,1,2,1,1,0,
CHA029GAZELA,CHA029,GAZELA,GAZELA,,Target Accepted,2,7,1,1,7,
CHA035GAZELA,CHA035,GAZELA,GAZELA,,Target Accepted,0,10,1,1,10,
CHA040GAZELA,CHA040,GAZELA,GAZELA,,Target Accepted,7,17,1,1,17,
CHA042GAZELA,CHA042,GAZELA,GAZELA,,Target Accepted,5,43,1,1,40,
CHA045GAZELA,CHA045,GAZELA,GAZELA,,Target Accepted,18,52,1,1,52,
CHA047GAZELA,CHA047,GAZELA,GAZELA,,Target Accepted,0,22,1,1,22,
CHA048GAZELA,CHA048,GAZELA,GAZELA,,Best Offered,12,73,1,1,64,
CHA050GAZELA,CHA050,GAZELA,GAZELA,,Best Offered,14,109,1,1,100,
CHA052GAZELA,CHA052,GAZELA,GAZELA,,Target Accepted,0,8,1,1,8,
CHA054GAZELA,CHA054,GAZELA,GAZELA,,Best Offered,1,21,1,1,17,
CHA056GAZELA,CHA056,GAZELA,GAZELA,,Target Accepted,0,24,1,1,24,
CHA059GAZELA,CHA059,GAZELA,GAZELA,,Target Accepted,0,11,1,1,11,
CHA062GAZELA,CHA062,GAZELA,GAZELA,,Target Accepted,0,11,1,1,11,
CHA064GAZELA,CHA064,GAZELA,GAZELA,,Target Accepted,0,3,1,1,3,
CHA072GAZELA,CHA072,GAZELA,GAZELA,,Target Accepted,6,19,1,1,16,
CHA073GAZELA,CHA073,GAZELA,GAZELA,,Target Accepted,0,8,1,2,8,
CHA074GAZELA,CHA074,GAZELA,GAZELA,,Target Accepted,2,3,1,1,3,
CHA075GAZELA,CHA075,GAZELA,GAZELA,,Target Accepted,0,14,1,1,14,
CHA076GAZELA,CHA076,GAZELA,GAZELA,,Target Accepted,1,6,1,1,4,
CHA077GAZELA,CHA077,GAZELA,GAZELA,,Target Accepted,0,46,1,3,46,
CHA080GAZELA,CHA080,GAZELA,GAZELA,,Target Accepted,0,4,1,1,4,
CHA083GAZELA,CHA083,GAZELA,GAZELA,,Target Accepted,11,19,1,1,17,
CHA086GAZELA,CHA086,GAZELA,GAZELA,,Target Accepted,0,13,1,2,13,
CHA088GAZELA,CHA088,GAZELA,GAZELA,,Best Offered,0,12,1,1,12,
CHA089GAZELA,CHA089,GAZELA,GAZELA,,Best Offered,0,6,1,1,6,
CHA090GAZELA,CHA090,GAZELA,GAZELA,,Target Accepted,0,3,1,1,3,
CHA094GAZELA,CHA094,GAZELA,GAZELA,,Target Accepted,0,37,1,1,37,
