standardcode,partnumber,customercode,customername,targetdate,status,2023-customer-sales,2024-customer-sales,number-of-customer-target,number-of-part-number-target,sales-after-target,total-sales-after-first-target
ADC0553VA Psaltis + Sotiris,ADC0553V,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,6,18,1,1,18,
ADC0923VA Psaltis + Sotiris,ADC0923V,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,14,40,1,1,40,
ADC1626VA Psaltis + Sotiris,ADC1626V,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,2,18,1,1,18,
ADC1645VA Psaltis + Sotiris,ADC1645V,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,0,12,1,2,12,
ADC2727VA Psaltis + Sotiris,ADC2727V,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,0,4,1,5,4,
ADC2732A Psaltis + Sotiris,ADC2732,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,0,18,1,1,18,
CHN12860A Psaltis + Sotiris,CHN12860,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,60,130,1,1,130,
EAF745A Psaltis + Sotiris,EAF745,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,388,254,1,2,254,
EAF807A Psaltis + Sotiris,EAF807,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,94,152,1,1,152,
EAF813A Psaltis + Sotiris,EAF813,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,150,200,1,3,200,
EAF848A Psaltis + Sotiris,EAF848,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,588,760,1,4,760,
EKF191A Psaltis + Sotiris,EKF191,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,10,560,1,2,560,
EKF203A Psaltis + Sotiris,EKF203,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,20,131,1,4,131,
EKF206AA Psaltis + Sotiris,EKF206A,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,0,10,1,1,10,
EKF408A Psaltis + Sotiris,EKF408,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,17,52,1,1,52,
ADB02864A Psaltis + Sotiris,ADB02864,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,4,2,1,1,2,
